Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10.5,724.109,10.486,124.256,1732.248
11.5,561.332,2.097,54.526,1732.248
12.5,655.704,4.194,54.526,1732.248
13.6,548.473,1.049,4.194,1732.248
15.5,330.369,276.824,4.194,891.29
16.5,330.369,397.41,4.194,891.29
17.5,330.369,497.025,4.194,891.29
18.5,270.6,46.137,49.052,940.573
19.5,270.6,147.849,49.052,940.573
20.5,270.6,251.658,49.052,940.573
21.5,319.52,23.069,4.194,940.573
22.5,319.52,126.878,4.194,940.573
23.6,319.52,224.395,4.194,940.573
24.6,319.52,327.156,4.194,940.573
25.6,319.52,61.866,1.666,940.573
26.6,319.52,161.481,1.666,940.573
27.6,319.52,264.241,1.666,940.573
28.6,319.52,365.953,1.666,940.573
29.6,319.52,68.157,0.325,940.573
30.6,319.52,170.918,0.325,940.573
31.6,319.52,272.63,0.325,940.573
32.6,319.52,374.342,0.325,940.573
33.6,319.52,52.429,0.229,940.573
34.6,319.52,152.044,0.229,940.573
35.6,319.52,251.658,0.229,940.573
36.6,319.52,352.322,0.229,940.573
37.6,319.52,11.534,0.185,940.573
38.6,319.52,113.246,0.185,940.573
39.6,319.52,211.812,0.185,940.573
40.6,319.52,313.524,0.185,940.573
41.6,319.52,413.139,0.185,940.573
42.6,319.52,54.526,0.194,940.573
43.6,319.52,157.286,0.194,940.573
44.6,319.52,254.804,0.194,940.573
45.6,319.52,355.467,0.194,940.573
46.6,319.52,457.179,0.194,940.573
47.6,319.52,88.08,0.199,940.573
48.6,319.52,187.695,0.199,940.573
49.6,319.52,289.407,0.199,940.573
50.6,319.52,390.07,0.199,940.573
51.6,319.52,12.583,0.202,940.573
52.6,319.52,110.1,0.202,940.573
53.6,319.52,210.764,0.202,940.573
54.6,319.52,309.33,0.202,940.573
55.6,319.52,411.042,0.202,940.573
56.6,319.52,22.02,0.204,940.573
57.6,319.52,120.586,0.204,940.573
58.6,319.52,222.298,0.204,940.573
59.6,319.52,321.913,0.204,940.573
