Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
 0000,15.18,51.00,16313,8354,0,0,7.00,10.27,0.00,0.00,6144,631
 1000,62.70,52.00,16313,8594,0,0,5.00,10.27,0.00,0.00,6144,631
 2000,65.23,52.00,16313,8550,0,0,0.00,10.27,0.00,0.00,6144,631
 3000,21.33,52.00,16313,8606,0,0,1.00,11.07,0.00,0.00,6144,680
 4000,24.76,53.00,16313,8725,0,0,1.00,11.07,0.00,0.00,6144,680
 5000,23.05,53.00,16313,8781,0,0,0.00,11.07,0.00,0.00,6144,680
 6000,16.80,53.00,16313,8794,0,0,0.00,11.00,0.00,0.00,6144,676
 7000,23.24,53.00,16313,8780,0,0,17.00,13.87,0.00,0.00,6144,852
 8000,31.05,53.00,16313,8752,0,0,16.00,14.79,0.00,0.00,6144,909
 9000,17.97,53.00,16313,8773,0,0,3.00,16.55,0.00,0.00,6144,1017
10000,19.92,54.00,16313,8809,0,0,6.00,20.21,0.00,0.00,6144,1242
11000,41.99,54.00,16313,8966,0,0,6.00,21.40,0.00,0.00,6144,1315
12000,26.37,54.00,16313,8968,0,0,38.00,20.88,0.00,0.00,6144,1283
13000,60.58,56.00,16313,9269,0,0,23.00,21.14,0.00,0.00,6144,1299
14000,29.30,57.00,16313,9299,0,0,39.00,21.18,0.00,0.00,6144,1301
15000,25.98,57.00,16313,9303,0,0,50.00,21.18,0.00,0.00,6144,1301
16000,16.41,57.00,16313,9301,0,0,56.00,21.18,0.00,0.00,6144,1301
17000,18.36,57.00,16313,9299,0,0,56.00,21.18,0.00,0.00,6144,1301
18000,19.92,57.00,16313,9299,0,0,59.00,21.18,0.00,0.00,6144,1301
19000,20.70,57.00,16313,9299,0,0,59.00,21.18,0.00,0.00,6144,1301
20000,18.95,57.00,16313,9299,0,0,55.00,21.18,0.00,0.00,6144,1301
21000,17.50,56.00,16313,9293,0,0,59.00,21.18,0.00,0.00,6144,1301
22000,15.04,56.00,16313,9291,0,0,60.00,21.18,0.00,0.00,6144,1301
23000,16.99,56.00,16313,9288,0,0,58.00,21.18,0.00,0.00,6144,1301
24000,17.97,56.00,16313,9287,0,0,59.00,21.18,0.00,0.00,6144,1301
25000,21.68,56.00,16313,9286,0,0,58.00,21.18,0.00,0.00,6144,1301
26000,16.99,56.00,16313,9286,0,0,60.00,21.18,0.00,0.00,6144,1301
27000,21.68,56.00,16313,9297,0,0,60.00,21.18,0.00,0.00,6144,1301
28000,19.73,56.00,16313,9287,0,0,60.00,21.18,0.00,0.00,6144,1301
29000,18.75,56.00,16313,9277,0,0,60.00,21.18,0.00,0.00,6144,1301
30000,17.19,56.00,16313,9276,0,0,61.00,21.18,0.00,0.00,6144,1301
31000,20.90,56.00,16313,9274,0,0,60.00,21.18,0.00,0.00,6144,1301
32000,16.80,56.00,16313,9287,0,0,59.00,21.18,0.00,0.00,6144,1301
33000,17.58,56.00,16313,9287,0,0,59.00,21.18,0.00,0.00,6144,1301
34000,16.41,56.00,16313,9287,0,0,58.00,21.18,0.00,0.00,6144,1301
35000,22.85,56.00,16313,9297,0,0,58.00,21.18,0.00,0.00,6144,1301
36000,17.69,57.00,16313,9309,0,0,58.00,21.18,0.00,0.00,6144,1301
