Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10.6,0,0,0,0
11.6,24,1,8,22
12.6,20,0,5,17
13.6,22,0,5,19
14.6,44,0,11,39
15.6,47,0,6,42
16.6,26,0,4,22
17.6,26,0,2,21
18.6,25,0,4,20
19.6,28,0,2,20
20.6,45,0,3,20
21.6,24,0,3,20
22.6,24,0,3,20
23.6,30,0,4,25
24.6,24,0,2,20
25.6,25,0,4,19
26.6,24,0,3,19
27.6,23,0,3,18
28.6,24,0,3,18
29.6,24,0,3,18
30.6,21,0,3,16
31.6,21,0,2,15
32.6,24,0,3,19
33.6,24,0,2,18
34.6,24,0,3,16
35.6,23,0,3,19
36.6,21,0,3,18
37.6,23,0,2,17
38.6,24,0,3,18
39.6,21,0,4,17
40.6,23,0,2,17
41.6,21,0,3,18
42.6,23,0,3,18
43.6,28,0,2,19
44.6,23,0,4,19
45.6,24,0,2,17
46.6,21,0,4,18
47.6,22,0,3,18
48.6,23,0,3,17
49.6,22,0,3,18
50.6,22,0,3,17
51.6,23,0,2,18
52.6,22,0,4,17
53.6,24,0,3,20
54.6,22,0,3,19
55.6,23,0,4,18
56.6,23,0,3,17
57.6,21,0,3,17
58.6,24,0,3,19
59.7,25,0,3,18
