Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
 0,12.68,47.00,16313,7737,0,0,7.00,6.38,0.00,0.00,6144,392
 1,72.50,48.00,16313,7945,0,0,5.00,6.38,0.00,0.00,6144,392
 2,45.70,48.00,16313,7919,0,0,1.00,6.38,0.00,0.00,6144,392
 3,26.17,48.00,16313,7963,0,0,2.00,7.11,0.00,0.00,6144,437
 4,17.19,49.00,16313,8081,0,0,1.00,7.11,0.00,0.00,6144,437
 5,21.48,49.00,16313,8115,0,0,1.00,7.15,0.00,0.00,6144,439
 6,36.72,50.00,16313,8224,0,0,2.00,7.16,0.00,0.00,6144,440
 7,34.77,52.00,16313,8611,0,0,4.00,9.39,0.00,0.00,6144,577
 8,49.02,55.00,16313,8977,0,0,2.00,9.39,0.00,0.00,6144,577
 9,25.78,55.00,16313,8991,0,0,2.00,9.39,0.00,0.00,6144,577
10,19.34,55.00,16313,9088,0,0,4.00,9.39,0.00,0.00,6144,577
11,36.91,57.00,16313,9413,0,0,6.00,10.99,0.00,0.00,6144,675
12,22.85,57.00,16313,9416,0,0,27.00,13.05,0.00,0.00,6144,802
13,17.19,57.00,16313,9412,0,0,28.00,15.15,0.00,0.00,6144,931
14,26.37,55.00,16313,9026,0,0,21.00,18.62,0.00,0.00,6144,1144
15,62.89,55.00,16313,9052,0,0,36.00,17.76,0.00,0.00,6144,1091
16,27.54,55.00,16313,9066,0,0,11.00,17.76,0.00,0.00,6144,1091
17,24.62,55.00,16313,9100,0,0,41.00,17.76,0.00,0.00,6144,1091
18,25.78,55.00,16313,9123,0,0,24.00,17.76,0.00,0.00,6144,1091
19,26.37,55.00,16313,9126,0,0,33.00,17.76,0.00,0.00,6144,1091
20,38.27,55.00,16313,8973,0,0,36.00,17.76,0.00,0.00,6144,1091
21,32.62,53.00,16313,8806,0,0,31.00,17.76,0.00,0.00,6144,1091
22,24.04,54.00,16313,8811,0,0,40.00,17.76,0.00,0.00,6144,1091
23,25.00,54.00,16313,8811,0,0,39.00,17.76,0.00,0.00,6144,1091
24,28.32,54.00,16313,8835,0,0,35.00,17.76,0.00,0.00,6144,1091
25,24.61,54.00,16313,8836,0,0,38.00,17.76,0.00,0.00,6144,1091
26,24.41,53.00,16313,8803,0,0,39.00,17.76,0.00,0.00,6144,1091
27,22.27,54.00,16313,8809,0,0,36.00,17.76,0.00,0.00,6144,1091
28,25.39,53.00,16313,8809,0,0,38.00,17.76,0.00,0.00,6144,1091
29,23.24,53.00,16313,8809,0,0,37.00,17.76,0.00,0.00,6144,1091
30,22.85,54.00,16313,8809,0,0,38.00,17.76,0.00,0.00,6144,1091
31,21.09,53.00,16313,8800,0,0,39.00,17.76,0.00,0.00,6144,1091
32,23.65,53.00,16313,8802,0,0,39.00,17.76,0.00,0.00,6144,1091
33,22.07,53.00,16313,8802,0,0,38.00,17.76,0.00,0.00,6144,1091
34,24.62,53.00,16313,8801,0,0,38.00,17.76,0.00,0.00,6144,1091
35,24.61,53.00,16313,8802,0,0,37.00,17.76,0.00,0.00,6144,1091
36,19.92,53.00,16313,8784,0,0,37.00,17.76,0.00,0.00,6144,1091
37,23.44,53.00,16313,8788,0,0,40.00,17.76,0.00,0.00,6144,1091
38,22.85,53.00,16313,8787,0,0,39.00,17.76,0.00,0.00,6144,1091
39,21.92,53.00,16313,8786,0,0,38.00,17.76,0.00,0.00,6144,1091
40,22.07,53.00,16313,8786,0,0,38.00,17.76,0.00,0.00,6144,1091
41,20.12,53.00,16313,8786,0,0,39.00,17.76,0.00,0.00,6144,1091
42,24.02,53.00,16313,8786,0,0,37.00,17.76,0.00,0.00,6144,1091
43,26.95,53.00,16313,8786,0,0,39.00,17.76,0.00,0.00,6144,1091
44,24.22,53.00,16313,8784,0,0,35.00,17.76,0.00,0.00,6144,1091
45,23.63,53.00,16313,8781,0,0,38.00,17.76,0.00,0.00,6144,1091
46,22.85,53.00,16313,8777,0,0,38.00,17.76,0.00,0.00,6144,1091
47,20.19,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
48,23.83,53.00,16313,8775,0,0,37.00,17.76,0.00,0.00,6144,1091
49,21.88,53.00,16313,8775,0,0,38.00,17.76,0.00,0.00,6144,1091
50,22.07,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
51,23.24,53.00,16313,8775,0,0,37.00,17.76,0.00,0.00,6144,1091
52,22.07,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
53,22.07,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
54,23.83,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
55,22.31,53.00,16313,8775,0,0,38.00,17.76,0.00,0.00,6144,1091
56,24.41,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
57,21.88,53.00,16313,8775,0,0,37.00,17.76,0.00,0.00,6144,1091
58,21.54,53.00,16313,8773,0,0,39.00,17.76,0.00,0.00,6144,1091
59,26.37,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
60,24.22,53.00,16313,8775,0,0,39.00,17.76,0.00,0.00,6144,1091
61,17.58,53.00,16313,8773,0,0,33.00,17.74,0.00,0.00,6144,1090
62,13.46,53.00,16313,8783,0,0,0.00,17.74,0.00,0.00,6144,1090
