Uptime (ms),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10600, 762.852, 121.635,   3.198,1730.150
11600, 565.720,   3.146, 125.719,1730.150
12600, 670.578,   4.194, 125.719,1730.150
13600, 274.989,   2.097,   4.194, 905.970
14600, 313.786,  65.012,   4.194, 905.970
15600, 313.786, 245.367,   4.194, 905.970
16600, 313.786, 429.916,   4.194, 905.970
17600, 259.260,  56.623,  40.894, 946.864
18600, 259.260, 299.893,  40.894, 946.864
19600, 299.631, 166.724,   4.194, 946.864
20600, 299.631, 361.759,   4.194, 946.864
21600, 299.631, 210.764,   1.489, 946.864
22600, 299.631,  34.603,   0.464, 946.864
23600, 299.631, 271.581,   0.464, 946.864
24600, 299.631,  61.866,   0.283, 946.864
25600, 299.631, 334.496,   0.283, 946.864
26600, 299.631, 106.955,   0.215, 946.864
27600, 299.631, 375.390,   0.215, 946.864
28600, 299.631, 148.898,   0.207, 946.864
29600, 299.631, 418.382,   0.207, 946.864
30600, 299.631, 196.084,   0.211, 946.864
31600, 299.631, 472.908,   0.211, 946.864
32600, 299.631, 229.638,   0.208, 946.864
33600, 299.631, 505.414,   0.208, 946.864
34600, 299.631, 253.755,   0.219, 946.864
35600, 299.631, 516.948,   0.219, 946.864
36600, 299.631, 267.387,   0.217, 946.864
37600, 299.631,  15.729,   0.215, 946.864
38600, 299.631, 285.213,   0.215, 946.864
39600, 299.631,  32.506,   0.217, 946.864
40600, 299.631, 314.573,   0.217, 946.864
41600, 299.631,  51.380,   0.223, 946.864
42600, 299.631, 330.301,   0.223, 946.864
43600, 299.631,  44.040,   0.219, 946.864
44600, 299.631, 315.621,   0.219, 946.864
45600, 299.631,  48.234,   0.226, 946.864
46600, 299.631, 330.301,   0.226, 946.864
47600, 299.644,  60.817,   0.226, 946.864
48600, 299.644, 335.544,   0.226, 946.864
49600, 299.652,  74.449,   0.224, 946.864
50600, 299.652, 343.933,   0.224, 946.864
51600, 299.661,  77.595,   0.214, 946.864
52600, 299.661, 355.467,   0.214, 946.864
53600, 299.667,  89.129,   0.219, 946.864
54600, 299.667, 359.662,   0.219, 946.864
55600, 299.679,  97.518,   0.224, 946.864
56600, 299.679, 374.342,   0.224, 946.864
57600, 299.685, 102.760,   0.219, 946.864
58600, 299.685, 382.730,   0.219, 946.864
59700, 299.688, 121.635,   0.219, 946.864
