Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10.6,0,0,0,0
11.6,30,0,11,24
12.6,53,1,9,47
13.6,28,0,5,23
14.6,22,0,4,14
15.6,18,0,4,13
16.6,18,0,4,13
17.6,22,0,4,15
18.6,18,0,2,13
19.6,19,0,3,14
20.6,18,0,5,13
21.6,17,0,3,13
22.6,15,0,4,12
23.6,17,0,4,14
24.6,18,0,3,13
25.6,16,0,3,12
26.6,17,0,3,12
27.6,18,0,3,13
28.6,17,0,4,13
29.6,19,0,2,14
30.6,19,0,4,14
31.6,18,0,4,13
32.6,18,0,4,12
33.6,15,0,3,13
34.6,15,0,4,12
35.6,16,0,4,12
36.6,18,0,3,14
37.6,21,0,4,16
38.6,18,0,3,13
39.6,17,0,4,13
40.6,21,0,3,14
41.6,17,0,3,13
42.6,16,0,3,12
43.6,15,0,4,12
44.6,16,0,4,12
45.6,15,0,4,13
46.6,15,0,4,12
47.6,17,0,5,13
48.6,15,0,3,13
49.6,17,0,4,13
50.6,17,0,4,13
51.6,16,0,5,11
52.7,14,0,3,10
53.7,15,0,4,12
54.7,18,0,3,15
55.7,17,0,5,12
56.7,17,0,3,12
57.7,16,0,4,13
58.7,17,0,4,13
