time (s),total frames,fps
11.295,1,1
12.006,20,19
13.003,170,150
14.001,422,252
15.001,707,285
16.001,1014,307
17.001,1341,327
18.001,1673,332
19.0,1992,319
20.0,2308,316
21.0,2643,335
22.001,2973,330
23.001,3302,329
24.0,3626,324
25.0,3935,309
26.001,4277,342
27.002,4623,346
28.001,4966,343
29.001,5299,333
30.001,5633,334
31.001,5941,308
32.001,6285,344
33.002,6609,324
34.002,6934,325
35.0,7257,323
36.002,7575,318
37.0,7924,349
38.0,8287,363
39.0,8633,346
40.0,8973,340
41.002,9308,335
42.0,9640,332
43.0,9975,335
44.0,10312,337
45.002,10661,349
46.0,10999,338
47.0,11351,352
48.001,11703,352
49.0,12057,354
50.0,12406,349
51.0,12753,347
52.0,13090,337
53.0,13422,332
54.0,13748,326
55.0,14091,343
56.0,14437,346
57.002,14794,357
58.001,15150,356
59.002,15497,347
60.0,15845,348
