Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
 0,16.85,47.00,16313,7822,0,0,6.00,6.53,0.00,0.00,6144,401
 1,68.85,49.00,16313,8039,0,0,2.00,6.53,0.00,0.00,6144,401
 2,43.46,49.00,16313,7997,0,0,1.00,6.53,0.00,0.00,6144,401
 3,21.68,49.00,16313,8042,0,0,2.00,7.24,0.00,0.00,6144,445
 4,20.12,50.00,16313,8163,0,0,1.00,7.26,0.00,0.00,6144,446
 5,18.95,50.00,16313,8176,0,0,1.00,7.26,0.00,0.00,6144,446
 6,20.31,50.00,16313,8179,0,0,8.00,9.47,0.00,0.00,6144,582
 7,26.95,50.00,16313,8176,0,0,26.00,10.12,0.00,0.00,6144,622
 8,28.32,49.00,16313,8156,0,0,8.00,11.67,0.00,0.00,6144,717
 9,20.12,49.00,16313,8155,0,0,6.00,13.43,0.00,0.00,6144,825
10,30.68,50.00,16313,8250,0,0,14.00,16.47,0.00,0.00,6144,1012
11,41.53,51.00,16313,8407,0,0,30.00,17.15,0.00,0.00,6144,1054
12,41.80,52.00,16313,8533,0,0,25.00,17.24,0.00,0.00,6144,1059
13,44.73,52.00,16313,8621,0,0,16.00,17.29,0.00,0.00,6144,1062
14,21.48,53.00,16313,8653,0,0,43.00,17.29,0.00,0.00,6144,1062
15,18.75,53.00,16313,8648,0,0,31.00,17.29,0.00,0.00,6144,1062
16,16.02,52.00,16313,8638,0,0,37.00,17.29,0.00,0.00,6144,1062
17,22.46,52.00,16313,8638,0,0,30.00,17.29,0.00,0.00,6144,1062
18,19.53,52.00,16313,8638,0,0,32.00,17.29,0.00,0.00,6144,1062
19,16.80,52.00,16313,8630,0,0,36.00,17.29,0.00,0.00,6144,1062
20,19.73,52.00,16313,8630,0,0,36.00,17.29,0.00,0.00,6144,1062
21,16.15,52.00,16313,8621,0,0,38.00,17.29,0.00,0.00,6144,1062
22,16.80,52.00,16313,8620,0,0,29.00,17.29,0.00,0.00,6144,1062
23,16.41,52.00,16313,8620,0,0,33.00,17.29,0.00,0.00,6144,1062
24,18.11,52.00,16313,8620,0,0,35.00,17.29,0.00,0.00,6144,1062
25,16.76,52.00,16313,8620,0,0,36.00,17.29,0.00,0.00,6144,1062
26,16.35,52.00,16313,8612,0,0,38.00,17.29,0.00,0.00,6144,1062
27,18.16,52.00,16313,8636,0,0,31.00,17.29,0.00,0.00,6144,1062
28,16.99,52.00,16313,8635,0,0,33.00,17.29,0.00,0.00,6144,1062
29,19.04,52.00,16313,8634,0,0,37.00,17.29,0.00,0.00,6144,1062
30,17.58,53.00,16313,8651,0,0,37.00,17.29,0.00,0.00,6144,1062
31,18.75,52.00,16313,8635,0,0,37.00,17.29,0.00,0.00,6144,1062
32,18.55,53.00,16313,8648,0,0,36.00,17.29,0.00,0.00,6144,1062
33,15.43,53.00,16313,8648,0,0,30.00,17.29,0.00,0.00,6144,1062
34,14.26,53.00,16313,8665,0,0,33.00,17.29,0.00,0.00,6144,1062
35,15.82,53.00,16313,8665,0,0,36.00,17.29,0.00,0.00,6144,1062
36,15.43,53.00,16313,8657,0,0,37.00,17.29,0.00,0.00,6144,1062
37,21.88,52.00,16313,8543,0,0,36.00,17.29,0.00,0.00,6144,1062
38,16.80,52.00,16313,8558,0,0,32.00,17.29,0.00,0.00,6144,1062
39,17.38,52.00,16313,8557,0,0,35.00,17.29,0.00,0.00,6144,1062
40,20.31,52.00,16313,8625,0,0,35.00,17.29,0.00,0.00,6144,1062
41,19.04,52.00,16313,8617,0,0,37.00,17.29,0.00,0.00,6144,1062
42,16.60,52.00,16313,8625,0,0,37.00,17.29,0.00,0.00,6144,1062
43,14.26,52.00,16313,8625,0,0,38.00,17.29,0.00,0.00,6144,1062
44,16.21,52.00,16313,8625,0,0,41.00,17.29,0.00,0.00,6144,1062
45,15.38,52.00,16313,8625,0,0,31.00,17.29,0.00,0.00,6144,1062
46,15.23,52.00,16313,8625,0,0,33.00,17.29,0.00,0.00,6144,1062
47,16.35,52.00,16313,8625,0,0,36.00,17.29,0.00,0.00,6144,1062
48,16.41,52.00,16313,8625,0,0,38.00,17.29,0.00,0.00,6144,1062
49,16.21,52.00,16313,8625,0,0,38.00,17.29,0.00,0.00,6144,1062
50,15.82,52.00,16313,8625,0,0,38.00,17.29,0.00,0.00,6144,1062
51,17.97,52.00,16313,8625,0,0,39.00,17.29,0.00,0.00,6144,1062
52,15.43,52.00,16313,8625,0,0,38.00,17.29,0.00,0.00,6144,1062
53,14.45,52.00,16313,8625,0,0,37.00,17.29,0.00,0.00,6144,1062
54,15.43,52.00,16313,8620,0,0,38.00,17.29,0.00,0.00,6144,1062
55,19.53,51.00,16313,8473,0,0,37.00,17.29,0.00,0.00,6144,1062
56,16.24,51.00,16313,8473,0,0,39.00,17.29,0.00,0.00,6144,1062
57,16.18,51.00,16313,8472,0,0,39.00,17.29,0.00,0.00,6144,1062
58,16.21,51.00,16313,8473,0,0,38.00,17.29,0.00,0.00,6144,1062
59,18.16,51.00,16313,8472,0,0,38.00,17.29,0.00,0.00,6144,1062
60,18.08,51.00,16313,8471,0,0,39.00,17.29,0.00,0.00,6144,1062
61,16.60,52.00,16313,8486,0,0,16.00,17.25,0.00,0.00,6144,1060
62,7.95,47.00,16313,7828,0,0,3.00,6.51,0.00,0.00,6144,400
63,0.58,47.00,16313,7825,0,0,1.00,6.51,0.00,0.00,6144,400
