Uptime (ms),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10600, 194.796,  58.720,   5.476, 643.826
11600, 194.796,  78.643,   5.476, 643.826
12600, 249.959,  48.234,  25.166, 643.826
13600, 268.407,  57.672,  12.038, 643.826
14600, 268.407, 118.489,  12.038, 643.826
15600, 279.941,  45.089,   5.127, 643.826
16600, 279.941, 108.003,   5.127, 643.826
17600, 279.941,  18.874,   4.923, 643.826
18600, 279.941,  88.080,   4.923, 643.826
19600, 279.941, 155.189,   4.923, 643.826
20600, 279.941,  38.797,   4.975, 643.826
21600, 279.941, 106.955,   4.975, 643.826
22600, 279.941, 176.161,   4.975, 643.826
23600, 279.941,  42.992,   5.452, 643.826
24600, 279.941, 110.100,   5.452, 643.826
25600, 279.941, 175.112,   5.452, 643.826
26600, 279.941,  23.069,   5.467, 643.826
27600, 279.941,  95.420,   5.467, 643.826
28600, 279.941, 166.724,   5.467, 643.826
29600, 279.941,   0.000,   5.592, 643.826
30600, 279.941,  70.255,   5.592, 643.826
31600, 279.941, 134.218,   5.592, 643.826
32600, 279.941, 206.569,   5.592, 643.826
33600, 279.941,  27.263,   5.709, 643.826
34600, 279.941,  94.372,   5.709, 643.826
35600, 279.941, 162.529,   5.709, 643.826
36600, 279.941, 228.590,   5.709, 643.826
37600, 147.821,  46.137,   5.721, 538.968
38600, 147.821, 121.635,   5.721, 538.968
39600, 147.821, 195.035,   5.721, 538.968
40600, 147.821,   3.146,   5.243, 538.968
41600, 109.005,  52.429,   0.802, 538.968
42600, 109.005, 122.683,   0.802, 538.968
43600, 109.005, 191.889,   0.802, 538.968
44600, 109.005, 262.144,   0.802, 538.968
45600, 109.005,  13.631,   1.801, 538.968
46600, 109.005,  83.886,   1.801, 538.968
47600, 109.005, 157.286,   1.801, 538.968
48600, 109.005, 230.687,   1.801, 538.968
49600, 109.005, 305.136,   1.801, 538.968
50600, 109.005,  57.672,   1.853, 538.968
51600, 109.005, 130.023,   1.853, 538.968
52700, 109.005, 199.229,   1.853, 538.968
53700, 109.005, 269.484,   1.853, 538.968
54700, 109.005,  16.777,   1.881, 381.682
55700, 109.005,  88.080,   1.881, 381.682
56700, 109.005, 160.432,   1.881, 381.682
57700, 109.005, 234.881,   1.881, 381.682
58700, 109.005,  38.797,   1.689, 383.779
