time (ms),total frames,fps
11623,1,1
12025,3,2
13007,41,38
14003,143,102
15007,228,85
16002,309,81
17003,388,79
18005,456,68
19006,536,80
20004,654,118
21002,772,118
22001,887,115
23006,1007,120
24002,1127,120
25006,1260,133
26005,1400,140
27003,1536,136
28007,1656,120
29005,1774,118
30002,1881,107
31007,1998,117
32003,2128,130
33000,2269,141
34008,2407,138
35003,2549,142
36003,2673,124
37008,2789,116
38000,2901,112
39006,3021,120
40001,3156,135
41002,3296,140
42005,3433,137
43001,3571,138
44006,3706,135
45003,3825,119
46008,3928,103
47010,4044,116
48001,4158,114
49004,4297,139
50002,4438,141
51003,4587,149
52002,4728,141
53000,4854,126
54001,4973,119
55003,5092,119
56003,5213,121
57001,5343,130
58000,5468,125
59004,5599,131
60005,5739,140
