Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
0,18.15,48.00,16313,7910,0,0,2.00,7.13,0.00,0.00,6144,438
1,31.73,49.00,16313,8040,0,0,3.00,7.15,0.00,0.00,6144,439
2,34.38,50.00,16313,8314,0,0,2.00,9.38,0.00,0.00,6144,576
3,39.26,53.00,16313,8754,0,0,1.00,9.38,0.00,0.00,6144,576
4,22.46,54.00,16313,8934,0,0,1.00,9.38,0.00,0.00,6144,576
5,39.62,55.00,16313,9021,0,0,3.00,9.38,0.00,0.00,6144,576
6,81.45,56.00,16313,9203,0,0,6.00,9.42,0.00,0.00,6144,579
7,100.00,56.00,16313,9151,0,0,23.00,12.19,0.00,0.00,6144,749
8,100.00,56.00,16313,9236,0,0,25.00,13.57,0.00,0.00,6144,834
9,100.00,58.00,16313,9490,0,0,11.00,15.14,0.00,0.00,6144,930
10,100.00,59.00,16313,9668,0,0,15.00,16.91,0.00,0.00,6144,1039
11,97.66,59.00,16313,9686,0,0,36.00,17.64,0.00,0.00,6144,1084
12,98.05,60.00,16313,9943,0,0,5.00,18.36,0.00,0.00,6144,1128
13,36.72,61.00,16313,10072,0,0,39.00,19.99,0.00,0.00,6144,1228
14,25.98,61.00,16313,10077,0,0,57.00,19.99,0.00,0.00,6144,1228
15,29.10,61.00,16313,10079,0,0,63.00,19.99,0.00,0.00,6144,1228
16,26.37,61.00,16313,10058,0,0,61.00,19.99,0.00,0.00,6144,1228
17,27.54,61.00,16313,10072,0,0,48.00,19.99,0.00,0.00,6144,1228
18,26.76,61.00,16313,10060,0,0,42.00,19.99,0.00,0.00,6144,1228
19,25.98,61.00,16313,10051,0,0,42.00,19.99,0.00,0.00,6144,1228
20,25.00,61.00,16313,10049,0,0,40.00,19.99,0.00,0.00,6144,1228
21,28.08,61.00,16313,10047,0,0,49.00,19.99,0.00,0.00,6144,1228
22,25.39,61.00,16313,10048,0,0,67.00,19.99,0.00,0.00,6144,1228
23,24.41,61.00,16313,10047,0,0,73.00,19.99,0.00,0.00,6144,1228
24,25.00,61.00,16313,10046,0,0,63.00,19.99,0.00,0.00,6144,1228
25,25.38,61.00,16313,10045,0,0,49.00,19.99,0.00,0.00,6144,1228
26,25.20,61.00,16313,10047,0,0,43.00,19.99,0.00,0.00,6144,1228
27,27.54,61.00,16313,10046,0,0,42.00,19.99,0.00,0.00,6144,1228
28,26.76,61.00,16313,10048,0,0,41.00,19.99,0.00,0.00,6144,1228
29,24.61,61.00,16313,10047,0,0,50.00,19.99,0.00,0.00,6144,1228
30,25.59,61.00,16313,10047,0,0,68.00,19.99,0.00,0.00,6144,1228
31,24.41,61.00,16313,10049,0,0,73.00,19.99,0.00,0.00,6144,1228
32,24.22,61.00,16313,10049,0,0,64.00,19.99,0.00,0.00,6144,1228
33,27.93,61.00,16313,10048,0,0,50.00,19.99,0.00,0.00,6144,1228
34,28.91,61.00,16313,10051,0,0,43.00,19.99,0.00,0.00,6144,1228
35,28.52,61.00,16313,10059,0,0,42.00,19.99,0.00,0.00,6144,1228
36,32.62,61.00,16313,10033,0,0,40.00,19.99,0.00,0.00,6144,1228
37,29.69,61.00,16313,10034,0,0,52.00,19.99,0.00,0.00,6144,1228
38,25.00,61.00,16313,10044,0,0,70.00,19.99,0.00,0.00,6144,1228
39,25.59,61.00,16313,10043,0,0,77.00,19.99,0.00,0.00,6144,1228
40,24.80,61.00,16313,10044,0,0,66.00,19.99,0.00,0.00,6144,1228
41,23.05,61.00,16313,10043,0,0,52.00,19.99,0.00,0.00,6144,1228
42,25.98,61.00,16313,10044,0,0,45.00,19.99,0.00,0.00,6144,1228
43,25.78,61.00,16313,10044,0,0,44.00,19.99,0.00,0.00,6144,1228
44,23.83,61.00,16313,10044,0,0,42.00,19.99,0.00,0.00,6144,1228
45,27.93,61.00,16313,10044,0,0,53.00,19.99,0.00,0.00,6144,1228
46,23.83,61.00,16313,10044,0,0,71.00,19.99,0.00,0.00,6144,1228
47,24.02,61.00,16313,10044,0,0,77.00,19.99,0.00,0.00,6144,1228
48,23.24,61.00,16313,10044,0,0,65.00,19.99,0.00,0.00,6144,1228
49,25.98,61.00,16313,10044,0,0,51.00,19.99,0.00,0.00,6144,1228
50,26.56,61.00,16313,10044,0,0,46.00,19.99,0.00,0.00,6144,1228
51,26.76,61.00,16313,10042,0,0,45.00,19.99,0.00,0.00,6144,1228
52,28.71,61.00,16313,10043,0,0,43.00,20.02,0.00,0.00,6144,1230
53,24.22,61.00,16313,10044,0,0,54.00,20.02,0.00,0.00,6144,1230
54,25.00,61.00,16313,10044,0,0,73.00,20.02,0.00,0.00,6144,1230
55,28.85,61.00,16313,10042,0,0,77.00,20.02,0.00,0.00,6144,1230
56,21.23,61.00,16313,10042,0,0,25.00,19.99,0.00,0.00,6144,1228
57,8.59,53.00,16313,8728,0,0,0.00,6.53,0.00,0.00,6144,401
