Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10.7,532.064,2.097,124.256,1753.219
11.7,722.905,8.389,124.256,1753.219
12.7,468.64,141.558,10.486,1520.435
13.7,425.648,25.166,46.137,1520.435
14.7,520.02,463.471,46.137,1520.435
15.7,465.955,143.655,87.032,1520.435
16.7,513.141,509.608,87.032,1520.435
17.7,527.36,346.03,46.137,1520.435
18.7,699.326,137.363,82.838,1520.435
19.7,699.326,299.893,82.838,1520.435
20.7,397.645,115.343,19.923,1440.743
21.7,397.645,300.941,19.923,1440.743
22.7,397.645,117.441,20.972,1440.743
23.7,397.645,282.067,20.972,1440.743
24.7,397.645,430.965,20.972,1440.743
25.7,397.645,592.445,20.972,1440.743
26.7,397.645,114.295,21.423,1440.743
27.7,397.645,301.99,21.423,1440.743
28.7,397.645,500.171,21.423,1440.743
29.7,397.645,699.4,21.423,1440.743
30.7,397.645,183.501,20.282,1440.743
31.7,397.645,353.37,20.282,1440.743
32.7,397.645,520.094,20.282,1440.743
33.7,397.645,687.866,20.282,1440.743
34.7,397.645,111.149,20.401,1440.743
35.7,397.645,299.893,20.401,1440.743
36.7,397.645,503.316,20.401,1440.743
37.7,397.645,698.352,20.401,1440.743
38.7,397.645,118.489,19.923,1440.743
39.7,397.645,292.553,19.923,1440.743
40.7,397.645,458.228,19.923,1440.743
41.7,397.645,629.146,19.923,1440.743
42.7,397.645,18.874,19.923,1440.743
43.7,397.645,217.055,19.923,1440.743
44.7,397.645,417.333,19.923,1440.743
45.7,397.645,622.854,19.923,1440.743
46.7,397.645,4.194,20.25,1440.743
47.7,397.645,184.549,20.25,1440.743
48.7,397.645,356.516,20.25,1440.743
49.7,397.645,532.677,20.25,1440.743
50.7,397.645,722.469,20.25,1440.743
51.7,397.645,102.76,19.867,1440.743
52.7,397.645,315.621,19.867,1440.743
53.7,397.645,527.434,19.867,1440.743
54.7,397.645,717.226,19.867,1440.743
55.7,397.645,58.72,20.253,1440.743
56.7,397.645,225.444,20.253,1440.743
57.7,397.645,392.167,20.253,1440.743
