Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10.6,0,0,0,0
11.6,36,0,9,28
12.6,47,0,12,41
13.7,94,0,9,89
15.6,100,1,9,93
16.7,91,0,5,75
18.7,99,0,4,92
20.6,29,0,2,25
21.6,19,0,2,16
22.6,15,0,2,13
23.6,18,0,2,13
24.6,17,0,1,13
25.6,17,0,1,13
26.6,27,0,2,13
27.6,21,0,2,13
28.6,19,0,3,14
29.6,16,0,1,13
30.6,16,0,2,13
31.6,14,0,1,13
32.6,17,0,1,14
33.6,16,0,2,13
34.6,16,0,3,12
35.6,15,0,1,13
36.6,29,0,2,13
37.6,17,0,2,13
38.6,15,0,2,13
39.6,17,0,1,13
40.6,16,0,2,13
41.6,16,0,2,13
42.6,17,0,2,13
43.6,14,0,2,12
44.6,14,0,1,13
45.6,15,0,2,13
46.6,23,0,2,12
47.6,17,0,1,12
48.6,18,0,2,13
49.6,15,0,1,14
50.6,14,0,2,13
51.6,18,0,1,13
52.6,15,0,2,13
53.6,14,0,1,12
54.6,16,0,3,12
55.6,15,0,2,13
56.6,26,0,2,13
57.6,19,0,2,12
58.6,15,0,2,13
59.7,14,0,2,12
