time (ms),total frames,fps
11727,1,1
12118,3,2
13002,25,22
14017,84,59
15006,157,73
16007,225,68
17017,298,73
18003,365,67
19000,477,112
20006,618,141
21006,744,126
22003,866,122
23004,986,120
24005,1111,125
25002,1247,136
26002,1378,131
27004,1520,142
28003,1657,137
29003,1789,132
30002,1912,123
31006,2033,121
32005,2163,130
33004,2302,139
34002,2448,146
35005,2593,145
36002,2720,127
37003,2847,127
38003,2968,121
39003,3089,121
40003,3219,130
41006,3360,141
42005,3508,148
43006,3657,149
44006,3798,141
45004,3927,129
46004,4040,113
47002,4159,119
48005,4287,128
49004,4426,139
50000,4578,152
51000,4729,151
52003,4874,145
53003,5008,134
54000,5129,121
55000,5249,120
56005,5368,119
57000,5504,136
58003,5655,151
59004,5811,156
60000,5958,147
