Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
0,36.88,50.00,16313,8284,0,0,6.00,8.72,0.00,0.00,6144,536
1,40.43,50.00,16313,8215,0,0,5.00,8.72,0.00,0.00,6144,536
2,73.83,51.00,16313,8419,0,0,3.00,8.72,0.00,0.00,6144,536
3,85.16,51.00,16313,8453,0,0,1.00,8.72,0.00,0.00,6144,536
4,27.54,51.00,16313,8411,0,0,1.00,9.44,0.00,0.00,6144,580
5,23.83,52.00,16313,8542,0,0,2.00,9.46,0.00,0.00,6144,581
6,28.32,52.00,16313,8616,0,0,1.00,9.46,0.00,0.00,6144,581
7,30.27,53.00,16313,8686,0,0,1.00,9.46,0.00,0.00,6144,581
8,33.79,52.00,16313,8644,0,0,3.00,12.17,0.00,0.00,6144,748
9,37.11,52.00,16313,8567,0,0,24.00,13.04,0.00,0.00,6144,801
10,34.18,52.00,16313,8607,0,0,13.00,14.70,0.00,0.00,6144,903
11,19.92,52.00,16313,8615,0,0,5.00,18.54,0.00,0.00,6144,1139
12,41.41,54.00,16313,8837,0,0,11.00,19.71,0.00,0.00,6144,1211
13,31.25,54.00,16313,8857,0,0,17.00,19.21,0.00,0.00,6144,1180
14,82.81,54.00,16313,8838,0,0,42.00,19.48,0.00,0.00,6144,1197
15,97.46,53.00,16313,8765,0,0,8.00,19.60,0.00,0.00,6144,1204
16,100.00,55.00,16313,9050,0,0,31.00,20.10,0.00,0.00,6144,1235
17,99.02,57.00,16313,9388,0,0,39.00,20.49,0.00,0.00,6144,1259
18,100.00,60.00,16313,9860,0,0,17.00,20.82,0.00,0.00,6144,1279
19,98.85,61.00,16313,10004,0,0,22.00,21.11,0.00,0.00,6144,1297
20,73.05,61.00,16313,10083,0,0,30.00,21.40,0.00,0.00,6144,1315
21,18.95,61.00,16313,10099,0,0,40.00,21.57,0.00,0.00,6144,1325
22,18.75,61.00,16313,10111,0,0,41.00,21.57,0.00,0.00,6144,1325
23,17.97,61.00,16313,10098,0,0,34.00,21.57,0.00,0.00,6144,1325
24,14.65,61.00,16313,10077,0,0,33.00,21.57,0.00,0.00,6144,1325
25,17.77,61.00,16313,10089,0,0,36.00,21.57,0.00,0.00,6144,1325
26,17.38,61.00,16313,10095,0,0,37.00,21.57,0.00,0.00,6144,1325
27,20.70,61.00,16313,10095,0,0,38.00,21.57,0.00,0.00,6144,1325
28,27.73,61.00,16313,10106,0,0,40.00,21.57,0.00,0.00,6144,1325
29,18.55,61.00,16313,10080,0,0,40.00,21.57,0.00,0.00,6144,1325
30,17.38,61.00,16313,10088,0,0,37.00,21.60,0.00,0.00,6144,1327
31,15.82,61.00,16313,10088,0,0,33.00,21.60,0.00,0.00,6144,1327
32,14.45,61.00,16313,10088,0,0,35.00,21.60,0.00,0.00,6144,1327
33,16.99,61.00,16313,10088,0,0,36.00,21.60,0.00,0.00,6144,1327
34,16.60,61.00,16313,10088,0,0,37.00,21.60,0.00,0.00,6144,1327
35,15.85,61.00,16313,10088,0,0,38.00,21.60,0.00,0.00,6144,1327
36,15.59,61.00,16313,10088,0,0,42.00,21.60,0.00,0.00,6144,1327
37,21.88,61.00,16313,10100,0,0,40.00,21.60,0.00,0.00,6144,1327
38,24.02,61.00,16313,10101,0,0,36.00,21.60,0.00,0.00,6144,1327
39,14.26,61.00,16313,10101,0,0,31.00,21.60,0.00,0.00,6144,1327
40,16.60,61.00,16313,10102,0,0,36.00,21.60,0.00,0.00,6144,1327
41,17.19,61.00,16313,10103,0,0,37.00,21.60,0.00,0.00,6144,1327
42,15.77,61.00,16313,10103,0,0,38.00,21.60,0.00,0.00,6144,1327
43,16.35,61.00,16313,10102,0,0,38.00,21.60,0.00,0.00,6144,1327
44,15.19,61.00,16313,10087,0,0,41.00,21.60,0.00,0.00,6144,1327
45,13.48,61.00,16313,10094,0,0,40.00,21.60,0.00,0.00,6144,1327
46,15.58,61.00,16313,10093,0,0,37.00,21.60,0.00,0.00,6144,1327
47,18.36,61.00,16313,10092,0,0,32.00,21.60,0.00,0.00,6144,1327
48,22.27,61.00,16313,10094,0,0,33.00,21.60,0.00,0.00,6144,1327
49,18.16,61.00,16313,10092,0,0,35.00,21.60,0.00,0.00,6144,1327
50,13.67,61.00,16313,10093,0,0,37.00,21.60,0.00,0.00,6144,1327
51,16.21,61.00,16313,10088,0,0,38.00,21.60,0.00,0.00,6144,1327
52,15.82,61.00,16313,10094,0,0,42.00,21.60,0.00,0.00,6144,1327
53,15.63,61.00,16313,10095,0,0,40.00,21.60,0.00,0.00,6144,1327
54,14.42,61.00,16313,10095,0,0,37.00,21.60,0.00,0.00,6144,1327
55,15.04,61.00,16313,10095,0,0,33.00,21.60,0.00,0.00,6144,1327
56,15.77,61.00,16313,10095,0,0,34.00,21.60,0.00,0.00,6144,1327
57,22.12,61.00,16313,10094,0,0,36.00,21.60,0.00,0.00,6144,1327
58,21.68,61.00,16313,10099,0,0,34.00,21.60,0.00,0.00,6144,1327
59,14.84,61.00,16313,10099,0,0,37.00,21.60,0.00,0.00,6144,1327
60,16.41,61.00,16313,10099,0,0,42.00,21.60,0.00,0.00,6144,1327
61,16.80,61.00,16313,10100,0,0,40.00,21.63,0.00,0.00,6144,1329
62,18.16,61.00,16313,10104,0,0,36.00,21.61,0.00,0.00,6144,1328
63,8.65,61.00,16313,10074,0,0,8.00,8.85,0.00,0.00,6144,544
64,8.43,50.00,16313,8286,0,0,1.00,8.71,0.00,0.00,6144,535
