Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
0,13.53,46.00,16313,7553,0,0,10.00,6.38,0.00,0.00,6144,392
1,41.73,46.00,16313,7615,0,0,8.00,6.38,0.00,0.00,6144,392
2,95.12,47.00,16313,7759,0,0,7.00,6.38,0.00,0.00,6144,392
3,99.41,47.00,16313,7733,0,0,4.00,6.38,0.00,0.00,6144,392
4,90.82,47.00,16313,7744,0,0,2.00,7.10,0.00,0.00,6144,436
5,78.32,47.00,16313,7780,0,0,1.00,7.10,0.00,0.00,6144,436
6,76.95,48.00,16313,7876,0,0,1.00,7.15,0.00,0.00,6144,439
7,76.17,48.00,16313,7917,0,0,5.00,7.28,0.00,0.00,6144,447
8,80.08,48.00,16313,7882,0,0,12.00,7.26,0.00,0.00,6144,446
9,92.38,49.00,16313,8114,0,0,5.00,7.29,0.00,0.00,6144,448
10,92.97,51.00,16313,8353,0,0,1.00,9.38,0.00,0.00,6144,576
11,70.12,54.00,16313,8823,0,0,2.00,9.38,0.00,0.00,6144,576
12,29.30,54.00,16313,8823,0,0,3.00,9.38,0.00,0.00,6144,576
13,29.10,54.00,16313,8838,0,0,4.00,9.38,0.00,0.00,6144,576
14,64.45,55.00,16313,9009,0,0,6.00,9.42,0.00,0.00,6144,579
15,99.02,57.00,16313,9377,0,0,18.00,12.16,0.00,0.00,6144,747
16,99.02,59.00,16313,9655,0,0,27.00,13.48,0.00,0.00,6144,828
17,100.00,59.00,16313,9630,0,0,15.00,14.62,0.00,0.00,6144,898
18,100.00,58.00,16313,9621,0,0,16.00,15.93,0.00,0.00,6144,979
19,98.83,59.00,16313,9670,0,0,16.00,17.48,0.00,0.00,6144,1074
20,100.00,59.00,16313,9694,0,0,25.00,17.64,0.00,0.00,6144,1084
21,99.80,60.00,16313,9848,0,0,9.00,18.36,0.00,0.00,6144,1128
22,65.43,61.00,16313,10012,0,0,45.00,19.99,0.00,0.00,6144,1228
23,27.15,61.00,16313,9998,0,0,54.00,19.99,0.00,0.00,6144,1228
24,30.27,61.00,16313,9994,0,0,65.00,19.99,0.00,0.00,6144,1228
25,26.37,61.00,16313,9995,0,0,65.00,19.99,0.00,0.00,6144,1228
26,25.39,61.00,16313,9995,0,0,69.00,19.99,0.00,0.00,6144,1228
27,27.31,61.00,16313,9990,0,0,68.00,19.99,0.00,0.00,6144,1228
28,26.76,61.00,16313,9994,0,0,68.00,19.99,0.00,0.00,6144,1228
29,30.47,61.00,16313,9990,0,0,68.00,19.99,0.00,0.00,6144,1228
30,33.59,60.00,16313,9843,0,0,68.00,19.99,0.00,0.00,6144,1228
31,25.98,60.00,16313,9843,0,0,68.00,19.99,0.00,0.00,6144,1228
32,22.85,60.00,16313,9844,0,0,69.00,19.99,0.00,0.00,6144,1228
33,28.13,60.00,16313,9841,0,0,70.00,19.99,0.00,0.00,6144,1228
34,33.08,60.00,16313,9840,0,0,68.00,19.99,0.00,0.00,6144,1228
35,25.00,60.00,16313,9839,0,0,68.00,19.99,0.00,0.00,6144,1228
36,24.81,60.00,16313,9835,0,0,72.00,19.99,0.00,0.00,6144,1228
37,24.41,60.00,16313,9835,0,0,71.00,19.99,0.00,0.00,6144,1228
38,31.90,60.00,16313,9850,0,0,71.00,19.99,0.00,0.00,6144,1228
39,25.73,60.00,16313,9853,0,0,70.00,19.99,0.00,0.00,6144,1228
40,29.69,60.00,16313,9854,0,0,72.00,19.99,0.00,0.00,6144,1228
41,25.00,60.00,16313,9858,0,0,70.00,19.99,0.00,0.00,6144,1228
42,29.49,60.00,16313,9838,0,0,72.00,19.99,0.00,0.00,6144,1228
43,25.98,60.00,16313,9844,0,0,71.00,19.99,0.00,0.00,6144,1228
44,25.00,60.00,16313,9844,0,0,73.00,19.99,0.00,0.00,6144,1228
45,26.73,60.00,16313,9845,0,0,74.00,19.99,0.00,0.00,6144,1228
46,24.61,60.00,16313,9844,0,0,74.00,19.99,0.00,0.00,6144,1228
47,28.13,60.00,16313,9845,0,0,74.00,19.99,0.00,0.00,6144,1228
48,25.78,60.00,16313,9845,0,0,75.00,19.99,0.00,0.00,6144,1228
49,26.37,60.00,16313,9845,0,0,75.00,19.99,0.00,0.00,6144,1228
50,27.15,60.00,16313,9845,0,0,75.00,19.99,0.00,0.00,6144,1228
51,23.05,60.00,16313,9845,0,0,74.00,19.99,0.00,0.00,6144,1228
52,25.98,60.00,16313,9845,0,0,74.00,19.99,0.00,0.00,6144,1228
53,23.44,60.00,16313,9840,0,0,73.00,19.99,0.00,0.00,6144,1228
54,23.63,60.00,16313,9843,0,0,73.00,19.99,0.00,0.00,6144,1228
55,25.98,60.00,16313,9843,0,0,73.00,19.99,0.00,0.00,6144,1228
56,26.17,60.00,16313,9843,0,0,73.00,19.99,0.00,0.00,6144,1228
57,25.78,60.00,16313,9843,0,0,73.00,19.99,0.00,0.00,6144,1228
58,25.78,60.00,16313,9843,0,0,73.00,19.99,0.00,0.00,6144,1228
59,24.02,60.00,16313,9843,0,0,73.00,19.99,0.00,0.00,6144,1228
60,26.56,60.00,16313,9843,0,0,73.00,19.99,0.00,0.00,6144,1228
61,26.56,60.00,16313,9842,0,0,74.00,19.99,0.00,0.00,6144,1228
62,16.21,60.00,16313,9841,0,0,32.00,19.95,0.00,0.00,6144,1226
63,9.96,60.00,16313,9842,0,0,0.00,19.95,0.00,0.00,6144,1226
64,12.30,45.00,16313,7465,0,0,2.00,6.36,0.00,0.00,6144,391
