Uptime (ms),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10600, 675.587, 176.161,  22.020,1928.331
11600, 789.882, 184.549,  22.020,1928.331
12600, 553.428,   2.097,  85.669,1793.065
13600, 677.160,  60.817,  85.669,1793.065
14600, 744.269, 445.645,  85.669,1793.065
15600, 452.765, 213.910,  52.429,1793.065
16600, 520.922, 324.010,  52.429,1793.065
17700, 604.808, 451.936,  52.429,1793.065
19600, 421.307, 244.318, 109.052,1793.065
20600, 428.647, 695.206, 109.052,1793.065
21600, 601.271, 252.707, 115.343,1793.065
22600, 601.271, 436.208, 115.343,1793.065
23600, 715.063,  27.263,  77.595,1793.065
24600, 715.063, 224.395,  77.595,1793.065
25600, 715.063, 423.625,  77.595,1793.065
26600, 792.134,  66.060,   4.194,1793.065
27600, 792.134, 265.290,   4.194,1793.065
28600, 792.134, 464.519,   4.194,1793.065
29600, 792.134,  63.963,   2.547,1793.065
30600, 792.134, 268.435,   2.547,1793.065
31600, 792.134, 468.713,   2.547,1793.065
32600, 792.134,  30.409,   0.928,1793.065
33600, 792.134, 223.347,   0.928,1793.065
34600, 792.134, 426.770,   0.928,1793.065
35600, 792.134, 635.437,   0.928,1793.065
36600, 792.134, 161.481,   0.293,1793.065
37600, 792.134, 363.856,   0.293,1793.065
38600, 792.134, 571.474,   0.293,1793.065
39600, 792.134,  66.060,   0.284,1793.065
40600, 792.134, 275.775,   0.284,1793.065
41600, 792.134, 481.296,   0.284,1793.065
42600, 792.134, 689.963,   0.284,1793.065
43600, 792.134, 170.918,   0.243,1793.065
44600, 792.134, 384.827,   0.243,1793.065
45600, 792.134, 599.785,   0.243,1793.065
46600, 792.134,  65.012,   0.272,1793.065
47600, 792.134, 281.018,   0.272,1793.065
48600, 792.134, 495.976,   0.272,1793.065
49600, 792.134, 710.935,   0.272,1793.065
50600, 792.134, 162.529,   0.268,1793.065
51600, 792.134, 374.342,   0.268,1793.065
52600, 792.134, 586.154,   0.268,1793.065
53600, 792.134,  25.166,   0.268,1793.065
54600, 792.134, 236.978,   0.268,1793.065
55600, 792.134, 447.742,   0.268,1793.065
56600, 792.134, 659.554,   0.268,1793.065
57600, 792.134,  89.129,   0.278,1793.065
58600, 792.134, 299.893,   0.278,1793.065
59600, 792.134, 508.559,   0.278,1793.065
