Uptime (ms),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10700,0,0,0,0
11700,38,1,6,32
12700,36,0,13,30
13700,97,0,7,96
14700,99,0,9,93
15700,100,1,8,96
16700,100,0,4,97
17700,100,1,3,97
18700,63,0,3,59
19700,19,0,2,15
20700,18,0,3,13
21700,16,0,3,13
22700,16,0,3,13
23700,19,0,3,18
24700,16,0,2,12
25700,14,0,1,11
26700,17,0,2,12
27700,15,0,2,12
28700,16,0,2,13
29700,17,0,2,13
30700,16,0,2,13
31700,18,0,2,15
32700,17,0,1,13
33700,15,0,1,13
34700,14,0,2,11
35700,15,0,2,12
36700,14,0,1,12
37700,15,0,2,12
38700,18,0,3,14
39700,15,0,3,13
40700,16,0,2,13
41700,15,0,1,12
42700,16,0,2,13
43700,17,0,3,13
44700,17,0,2,13
45700,15,0,2,12
46700,16,0,2,12
47700,17,0,2,11
48700,16,0,3,13
49700,17,0,2,13
50700,16,0,2,13
51700,16,0,1,13
52700,19,0,3,12
53700,17,0,2,12
54700,16,0,2,13
55700,17,0,2,13
56700,20,0,1,12
57700,20,0,1,12
58700,16,0,3,12
59700,18,0,2,13
