time (s),total frames,fps
11.829,1,1
12.401,2,1
13.04,10,8
14.017,40,30
15.009,96,56
16.014,175,79
17.01,257,82
18.004,366,109
19.004,550,184
20.001,744,194
21.002,941,197
22.004,1139,198
23.003,1326,187
24.002,1520,194
25.003,1716,196
26.004,1911,195
27.003,2107,196
28.002,2313,206
29.001,2514,201
30.0,2716,202
31.003,2917,201
32.0,3123,206
33.004,3329,206
34.002,3530,201
35.003,3729,199
36.004,3927,198
37.0,4123,196
38.004,4325,202
39.003,4528,203
40.003,4732,204
41.003,4936,204
42.003,5139,203
43.004,5339,200
44.001,5540,201
45.004,5743,203
46.004,5944,201
47.003,6142,198
48.002,6348,206
49.003,6551,203
50.002,6758,207
51.003,6965,207
52.0,7157,192
53.0,7354,197
54.0,7552,198
55.004,7752,200
56.005,7953,201
57.002,8145,192
58.003,8354,209
59.0,8562,208
60.004,8769,207
