Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
0,12.25,47.00,16313,7732,0,0,6.00,6.54,0.00,0.00,6144,402
1,75.59,48.00,16313,7944,0,0,5.00,6.54,0.00,0.00,6144,402
2,74.41,48.00,16313,7921,0,0,1.00,6.54,0.00,0.00,6144,402
3,32.23,48.00,16313,7962,0,0,1.00,7.34,0.00,0.00,6144,451
4,34.96,49.00,16313,8007,0,0,1.00,7.36,0.00,0.00,6144,452
5,30.47,49.00,16313,8119,0,0,0.00,7.28,0.00,0.00,6144,447
6,27.73,49.00,16313,8144,0,0,0.00,7.28,0.00,0.00,6144,447
7,40.63,49.00,16313,8144,0,0,6.00,10.09,0.00,0.00,6144,620
8,47.27,49.00,16313,8121,0,0,18.00,10.56,0.00,0.00,6144,649
9,23.46,49.00,16313,8133,0,0,11.00,12.30,0.00,0.00,6144,756
10,23.05,49.00,16313,8125,0,0,3.00,13.98,0.00,0.00,6144,859
11,64.06,50.00,16313,8300,0,0,5.00,16.50,0.00,0.00,6144,1014
12,32.81,51.00,16313,8353,0,0,4.00,17.17,0.00,0.00,6144,1055
13,58.40,51.00,16313,8369,0,0,47.00,17.19,0.00,0.00,6144,1056
14,96.54,51.00,16313,8466,0,0,14.00,17.35,0.00,0.00,6144,1066
15,100.00,53.00,16313,8806,0,0,15.00,17.94,0.00,0.00,6144,1102
16,100.00,56.00,16313,9218,0,0,45.00,18.33,0.00,0.00,6144,1126
17,100.00,57.00,16313,9402,0,0,42.00,18.78,0.00,0.00,6144,1154
18,99.04,58.00,16313,9593,0,0,20.00,19.27,0.00,0.00,6144,1184
19,35.74,58.00,16313,9611,0,0,25.00,19.37,0.00,0.00,6144,1190
20,16.15,58.00,16313,9613,0,0,44.00,19.37,0.00,0.00,6144,1190
21,17.38,58.00,16313,9611,0,0,40.00,19.37,0.00,0.00,6144,1190
22,14.84,58.00,16313,9610,0,0,40.00,19.37,0.00,0.00,6144,1190
23,17.88,58.00,16313,9608,0,0,40.00,19.37,0.00,0.00,6144,1190
24,17.77,58.00,16313,9609,0,0,38.00,19.37,0.00,0.00,6144,1190
25,15.04,58.00,16313,9609,0,0,38.00,19.37,0.00,0.00,6144,1190
26,14.65,58.00,16313,9608,0,0,39.00,19.37,0.00,0.00,6144,1190
27,16.73,58.00,16313,9589,0,0,39.00,19.37,0.00,0.00,6144,1190
28,15.63,58.00,16313,9588,0,0,39.00,19.37,0.00,0.00,6144,1190
29,15.96,58.00,16313,9588,0,0,40.00,19.37,0.00,0.00,6144,1190
30,17.58,58.00,16313,9588,0,0,40.00,19.37,0.00,0.00,6144,1190
