Uptime (ms),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10900, 624.939,  56.623,  25.218,1881.145
11900, 727.699, 478.151,  25.218,1881.145
12900, 482.333, 344.982,  46.137,1881.145
13900, 571.462, 662.700,  46.137,1881.145
14900, 461.361, 111.149, 112.198,1881.145
15900, 482.333, 387.973, 112.198,1881.145
16900, 509.776, 174.064, 116.392,1881.145
18000, 701.485,   6.291, 108.003,1881.145
19000, 701.485, 376.439, 108.003,1881.145
20000, 821.547,  26.214,  87.032,1881.145
21000, 821.547, 198.181,  87.032,1881.145
22000, 908.733,  28.312,  36.176,1881.145
23000, 908.733, 193.987,  36.176,1881.145
24000, 908.733, 370.147,  36.176,1881.145
25000, 584.634, 159.384,  52.953,1881.145
26000, 584.634, 330.301,  52.953,1881.145
27000, 535.722,  12.583,   6.291,1881.145
28000, 535.722, 241.172,   6.291,1881.145
29000, 535.722, 423.625,   6.291,1881.145
30000, 535.722, 779.092,   6.291,1881.145
31000, 535.722,  77.595,  70.230,1881.145
32000, 535.722, 264.241,  70.230,1881.145
33000, 535.722, 596.640,  70.230,1881.145
34000, 535.722, 772.801,  70.230,1881.145
35000, 603.061, 248.513,  39.424,1881.145
36000, 603.061, 452.985,  39.424,1881.145
37000, 603.061, 633.340,  39.424,1881.145
38000, 603.061, 147.849,  79.692,1881.145
39000, 603.061, 334.496,  79.692,1881.145
40000, 603.061, 525.337,  79.692,1881.145
41000, 637.719,  51.380, 101.188,1881.145
42000, 637.719, 242.221, 101.188,1881.145
43000, 637.719, 566.231, 101.188,1881.145
44000, 733.903,  31.457,  36.176,1881.145
45000, 733.903, 239.075,  36.176,1881.145
46000, 733.903, 599.785,  36.176,1881.145
47000, 733.903,  53.477,  70.779,1881.145
48000, 733.903, 263.193,  70.779,1881.145
49000, 733.903, 615.514,  70.779,1881.145
50000, 766.302,  92.275,  69.730,1881.145
51000, 766.302, 420.479,  69.730,1881.145
52000, 766.302, 648.020,  69.730,1881.145
53000, 799.963, 145.752,  66.585,1881.145
54000, 799.963, 500.171,  66.585,1881.145
55000, 832.469,  11.534,  65.536,1881.145
56000, 832.469, 231.735,  65.536,1881.145
57000, 832.469, 601.883,  65.536,1881.145
58000, 862.878, 143.655,  66.585,1881.145
59000, 862.878, 498.074,  66.585,1881.145
