time (s),total frames,fps
11.301,1,1
12.026,3,2
13.004,32,29
14.004,83,51
15.005,178,95
16.003,267,89
17.008,348,81
18.008,415,67
19.003,534,119
20.005,691,157
21.003,799,108
22.0,953,154
23.01,1096,143
24.002,1217,121
25.005,1368,151
26.008,1480,112
27.004,1618,138
28.004,1766,148
29.001,1870,104
30.004,2017,147
31.001,2156,139
32.002,2272,116
33.004,2421,149
34.0,2531,110
35.002,2662,131
36.003,2808,146
37.007,2906,98
38.008,3051,145
39.005,3183,132
40.004,3294,111
41.002,3437,143
42.005,3545,108
43.006,3676,131
44.002,3814,138
45.009,3911,97
46.004,4034,123
47.012,4165,131
48.001,4271,106
49.002,4409,138
50.003,4516,107
51.006,4651,135
52.0,4799,148
53.0,4900,101
54.006,5045,145
55.004,5176,131
56.001,5281,105
57.002,5423,142
58.007,5539,116
59.006,5676,137
60.002,5827,151
