Uptime (ms),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10600,0,0,0,0
11600,79,0,3,75
12600,98,0,6,94
13600,100,0,4,93
14600,98,1,5,94
15600,86,0,6,79
16600,81,1,10,73
17600,100,0,6,98
18600,75,1,4,71
19600,57,0,3,52
20600,35,0,2,31
21600,26,0,2,22
22600,58,0,2,56
23600,26,0,1,21
24600,40,0,3,36
25600,49,0,2,44
26600,33,1,2,25
27600,59,0,2,57
28600,36,0,2,34
29600,25,0,2,22
30600,60,0,2,57
31600,27,0,2,24
32600,38,0,2,34
33600,50,0,1,47
34600,28,0,3,25
35600,61,0,3,54
36600,36,0,3,32
37600,24,0,2,21
38600,67,0,3,62
39600,23,0,1,21
40600,35,0,2,33
41600,46,0,2,43
42600,24,0,1,22
43600,57,0,4,53
44600,31,0,3,26
45600,27,0,2,23
46600,69,0,3,65
47600,27,0,2,24
48600,38,0,2,35
49600,50,0,2,47
50600,24,0,2,22
51600,57,0,2,54
52600,31,0,2,28
53600,25,0,2,22
54600,65,0,3,63
55600,25,0,2,22
56600,50,0,1,38
57600,61,0,4,54
58600,26,0,1,23
59600,61,0,2,56
