time (s),total frames,fps
15.036,1,1
16.008,50,49
17.002,200,150
18.002,537,337
19.0,892,355
20.0,1382,490
21.0,1927,545
22.001,2322,395
23.0,2859,537
24.0,3303,444
25.0,3739,436
26.0,4217,478
27.001,4598,381
28.0,5102,504
29.0,5634,532
30.001,6017,383
31.0,6554,537
32.003,7033,479
33.009,7489,456
34.0,8042,553
35.001,8415,373
36.001,8932,517
37.0,9467,535
38.0,9858,391
39.0,10416,558
40.002,10886,470
41.0,11324,438
42.0,11892,568
43.0,12268,376
44.0,12780,512
45.001,13354,574
46.0,13736,382
47.001,14292,556
48.007,14780,488
49.0,15207,427
50.001,15809,602
51.0,16208,399
52.001,16768,560
53.002,17353,585
54.0,17731,378
55.001,18329,598
56.002,18783,454
57.001,19169,386
58.0,19756,587
59.001,20123,367
60.002,20580,457
