Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10600,531278848,3145728,1191936,1205862400
11600,513453056,92274688,4308992,1205862400
12600,343583744,201326592,22181888,1205862400
13600,385526784,374341632,58530816,1205862400
14600,402050048,188743680,71303168,1504706560
15600,470207488,458227712,71303168,1504706560
16600,384478208,78643200,91750400,1504706560
17600,391818240,476053504,91750400,1504706560
18600,533376000,137363456,96468992,1504706560
19600,533376000,463470592,96468992,1504706560
20600,630522880,144703488,57671680,1504706560
21600,630522880,355467264,57671680,1504706560
22600,687069184,206569472,7864320,1504706560
23600,687069184,415236096,7864320,1504706560
24600,402905088,162529280,32997376,1504706560
25600,402905088,447741952,32997376,1504706560
26600,360182784,123731968,4194304,1504706560
27600,360182784,464519168,4194304,1504706560
28600,360182784,679477248,4194304,1504706560
29600,360182784,71303168,33479680,1504706560
30600,360182784,448790528,33479680,1504706560
31600,360182784,667942912,33479680,1504706560
32600,360182784,122683392,63438848,1504706560
33600,360182784,478150656,63438848,1504706560
34600,360182784,719323136,63438848,1504706560
35600,389042176,301989888,62914560,1504706560
36600,389042176,537919488,62914560,1504706560
37600,389042176,751828992,62914560,1504706560
38600,417098752,361758720,62914560,1504706560
39600,417098752,577765376,62914560,1504706560
40600,446546944,93323264,62390272,1504706560
41600,446546944,434110464,62390272,1504706560
42600,446546944,648019968,62390272,1504706560
43600,476431360,348127232,61865984,1504706560
44600,505267200,56623104,61865984,1504706560
45600,505267200,336592896,61865984,1504706560
46600,533578752,198180864,49807360,1504706560
47600,533578752,605028352,49807360,1504706560
48600,563463168,230686720,34603008,1504706560
49600,563463168,104857600,63438848,1504706560
50600,563463168,409993216,63438848,1504706560
51600,591608832,263192576,40894464,1504706560
52600,591608832,512753664,40894464,1504706560
53600,591608832,96468992,62914560,1504706560
54600,619134976,84934656,64487424,1504706560
55600,619134976,438304768,64487424,1504706560
56600,648174592,260046848,36175872,1504706560
57600,648174592,344981504,57147392,1504706560
58600,677036032,173015040,37224448,1504706560
59600,587907072,245366784,49960960,1504706560
