time (ms),total frames,fps
11432,1,1
12055,10,9
13004,100,90
14002,204,104
15000,318,114
16001,425,107
17003,512,87
18002,623,111
19001,812,189
20000,1025,213
21000,1155,130
22003,1352,197
23009,1518,166
24003,1672,154
25000,1851,179
26002,1973,122
27000,2141,168
28001,2325,184
29006,2456,131
30003,2637,181
31017,2792,155
32006,2937,145
33004,3113,176
34008,3238,125
35005,3393,155
36001,3575,182
37005,3695,120
38000,3860,165
39012,4008,148
40005,4145,137
41000,4314,169
42000,4435,121
43002,4591,156
44002,4754,163
45006,4852,98
46003,5010,158
47019,5148,138
48002,5272,124
49002,5432,160
50002,5544,112
51000,5683,139
52000,5847,164
53003,5959,112
54002,6111,152
55011,6241,130
56004,6371,130
57000,6523,152
58005,6638,115
59002,6781,143
60000,6939,158
