Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
0,10.74,47.00,16313,7828,0,0,5.00,6.56,0.00,0.00,6144,403
1,83.01,48.00,16313,7883,0,0,5.00,6.56,0.00,0.00,6144,403
2,82.42,48.00,16313,7956,0,0,2.00,6.56,0.00,0.00,6144,403
3,34.57,49.00,16313,8029,0,0,2.00,7.31,0.00,0.00,6144,449
4,32.81,49.00,16313,8039,0,0,1.00,7.29,0.00,0.00,6144,448
5,28.18,49.00,16313,8148,0,0,1.00,7.29,0.00,0.00,6144,448
6,16.57,50.00,16313,8183,0,0,1.00,7.29,0.00,0.00,6144,448
7,18.36,50.00,16313,8161,0,0,11.00,9.52,0.00,0.00,6144,585
8,26.73,50.00,16313,8195,0,0,26.00,10.16,0.00,0.00,6144,624
9,33.01,50.00,16313,8159,0,0,6.00,11.83,0.00,0.00,6144,727
10,18.55,50.00,16313,8186,0,0,5.00,13.57,0.00,0.00,6144,834
11,36.13,50.00,16313,8278,0,0,8.00,16.55,0.00,0.00,6144,1017
12,38.67,51.00,16313,8406,0,0,28.00,17.22,0.00,0.00,6144,1058
13,47.85,51.00,16313,8377,0,0,32.00,17.30,0.00,0.00,6144,1063
14,100.00,53.00,16313,8758,0,0,19.00,17.17,0.00,0.00,6144,1055
15,100.00,53.00,16313,8781,0,0,35.00,17.33,0.00,0.00,6144,1065
16,100.00,54.00,16313,8928,0,0,30.00,17.50,0.00,0.00,6144,1075
17,100.00,54.00,16313,8954,0,0,34.00,17.76,0.00,0.00,6144,1091
18,98.83,56.00,16313,9143,0,0,32.00,17.82,0.00,0.00,6144,1095
19,79.49,57.00,16313,9380,0,0,38.00,17.99,0.00,0.00,6144,1105
20,28.91,57.00,16313,9403,0,0,35.00,18.18,0.00,0.00,6144,1117
