time (ms),total frames,fps
14934,1,1
15097,2,1
16001,219,217
17008,537,318
18002,703,166
19002,986,283
20004,1193,207
21004,1391,198
22001,1560,169
23003,1784,224
24000,1964,180
25003,2159,195
26001,2380,221
27000,2538,158
28001,2750,212
29000,2957,207
30002,3118,161
31003,3344,226
32005,3517,173
33001,3709,192
34001,3928,219
35001,4084,156
36004,4279,195
37001,4474,195
38004,4631,157
39002,4856,225
40005,5031,175
41003,5227,196
42005,5449,222
43000,5607,158
44001,5819,212
45005,6022,203
46002,6187,165
47003,6394,207
48012,6561,167
49004,6747,186
50002,6969,222
51005,7123,154
52001,7336,213
53001,7531,195
54002,7691,160
55001,7912,221
56001,8087,175
57004,8277,190
58000,8489,212
59002,8640,151
60000,8849,209
