Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
0,18.45,47.00,16313,7779,0,0,5.00,6.33,0.00,0.00,6144,389
1,70.31,48.00,16313,7993,0,0,2.00,6.33,0.00,0.00,6144,389
2,57.23,49.00,16313,8031,0,0,1.00,6.33,0.00,0.00,6144,389
3,28.46,49.00,16313,8038,0,0,2.00,7.06,0.00,0.00,6144,434
4,21.48,50.00,16313,8168,0,0,1.00,7.06,0.00,0.00,6144,434
5,17.97,50.00,16313,8190,0,0,1.00,7.06,0.00,0.00,6144,434
6,25.96,50.00,16313,8236,0,0,1.00,7.08,0.00,0.00,6144,435
7,31.64,52.00,16313,8544,0,0,2.00,9.31,0.00,0.00,6144,572
8,29.69,55.00,16313,9118,0,0,1.00,9.31,0.00,0.00,6144,572
9,36.91,56.00,16313,9284,0,0,1.00,9.31,0.00,0.00,6144,572
10,22.85,57.00,16313,9342,0,0,3.00,9.31,0.00,0.00,6144,572
11,70.70,58.00,16313,9480,0,0,6.00,9.36,0.00,0.00,6144,575
12,98.83,57.00,16313,9399,0,0,24.00,12.06,0.00,0.00,6144,741
13,99.22,57.00,16313,9377,0,0,30.00,13.23,0.00,0.00,6144,813
14,100.00,57.00,16313,9448,0,0,17.00,14.73,0.00,0.00,6144,905
15,99.02,57.00,16313,9449,0,0,18.00,16.18,0.00,0.00,6144,994
16,98.83,58.00,16313,9525,0,0,37.00,17.59,0.00,0.00,6144,1081
17,99.41,58.00,16313,9529,0,0,28.00,17.59,0.00,0.00,6144,1081
18,98.83,59.00,16313,9638,0,0,24.00,17.89,0.00,0.00,6144,1099
19,100.00,59.00,16313,9720,0,0,36.00,18.41,0.00,0.00,6144,1131
20,96.68,60.00,16313,9841,0,0,17.00,19.22,0.00,0.00,6144,1181
21,71.88,60.00,16313,9883,0,0,23.00,20.00,0.00,0.00,6144,1229
22,75.78,60.00,16313,9945,0,0,36.00,20.17,0.00,0.00,6144,1239
23,27.54,61.00,16313,9994,0,0,36.00,20.72,0.00,0.00,6144,1273
24,29.30,61.00,16313,9986,0,0,39.00,20.72,0.00,0.00,6144,1273
25,72.27,61.00,16313,10058,0,0,26.00,21.44,0.00,0.00,6144,1317
26,25.59,61.00,16313,10075,0,0,37.00,21.44,0.00,0.00,6144,1317
27,52.12,61.00,16313,10078,0,0,36.00,21.44,0.00,0.00,6144,1317
28,52.54,62.00,16313,10169,0,0,27.00,22.15,0.00,0.00,6144,1361
29,25.77,62.00,16313,10171,0,0,40.00,22.15,0.00,0.00,6144,1361
30,75.96,62.00,16313,10224,0,0,30.00,22.35,0.00,0.00,6144,1373
31,22.46,62.00,16313,10273,0,0,32.00,22.87,0.00,0.00,6144,1405
32,29.30,62.00,16313,10273,0,0,40.00,22.90,0.00,0.00,6144,1407
33,71.29,63.00,16313,10374,0,0,28.00,23.62,0.00,0.00,6144,1451
34,24.41,63.00,16313,10374,0,0,41.00,23.62,0.00,0.00,6144,1451
35,56.05,63.00,16313,10376,0,0,35.00,23.62,0.00,0.00,6144,1451
36,53.52,64.00,16313,10472,0,0,30.00,24.33,0.00,0.00,6144,1495
37,32.03,63.00,16313,10314,0,0,37.00,24.33,0.00,0.00,6144,1495
38,75.38,63.00,16313,10348,0,0,31.00,24.50,0.00,0.00,6144,1505
39,23.44,63.00,16313,10378,0,0,36.00,25.08,0.00,0.00,6144,1541
40,30.66,63.00,16313,10374,0,0,39.00,25.08,0.00,0.00,6144,1541
41,72.46,64.00,16313,10451,0,0,28.00,25.83,0.00,0.00,6144,1587
42,25.78,64.00,16313,10460,0,0,39.00,25.83,0.00,0.00,6144,1587
43,57.23,64.00,16313,10460,0,0,35.00,25.83,0.00,0.00,6144,1587
44,45.12,64.00,16313,10528,0,0,32.00,26.58,0.00,0.00,6144,1633
45,24.22,64.00,16313,10527,0,0,40.00,26.58,0.00,0.00,6144,1633
46,75.39,64.00,16313,10584,0,0,30.00,26.77,0.00,0.00,6144,1645
47,22.85,65.00,16313,10627,0,0,35.00,27.29,0.00,0.00,6144,1677
48,36.72,64.00,16313,10563,0,0,36.00,27.29,0.00,0.00,6144,1677
49,72.46,64.00,16313,10597,0,0,28.00,28.01,0.00,0.00,6144,1721
50,27.15,65.00,16313,10614,0,0,41.00,28.01,0.00,0.00,6144,1721
51,57.50,65.00,16313,10614,0,0,35.00,28.04,0.00,0.00,6144,1723
52,43.16,65.00,16313,10626,0,0,32.00,28.76,0.00,0.00,6144,1767
53,23.24,65.00,16313,10628,0,0,40.00,28.76,0.00,0.00,6144,1767
54,81.64,65.00,16313,10635,0,0,29.00,28.92,0.00,0.00,6144,1777
55,26.56,65.00,16313,10684,0,0,34.00,29.54,0.00,0.00,6144,1815
56,33.20,65.00,16313,10688,0,0,38.00,29.54,0.00,0.00,6144,1815
57,67.38,66.00,16313,10772,0,0,29.00,30.26,0.00,0.00,6144,1859
58,25.20,66.00,16313,10775,0,0,40.00,30.34,0.00,0.00,6144,1864
59,61.33,66.00,16313,10772,0,0,33.00,30.31,0.00,0.00,6144,1862
60,50.00,66.00,16313,10869,0,0,33.00,31.02,0.00,0.00,6144,1906
61,20.38,66.00,16313,10867,0,0,24.00,31.01,0.00,0.00,6144,1905
62,19.34,47.00,16313,7775,0,0,1.00,6.32,0.00,0.00,6144,388
