Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10.9,617.074,65.012,2.547,1423.966
11.9,506.973,238.027,8.389,1423.966
12.9,453.496,118.489,36.191,1423.966
13.9,542.625,473.956,36.191,1423.966
14.9,508.463,263.193,61.866,1423.966
15.9,468.453,22.02,68.682,1423.966
16.9,468.453,409.993,68.682,1423.966
17.9,499.109,268.435,67.109,1423.966
18.9,629.132,137.363,75.497,1423.966
19.9,707.251,290.456,27.263,1423.966
20.9,413.126,47.186,9.437,1423.966
21.9,413.126,348.127,9.437,1423.966
22.9,413.126,560.988,9.437,1423.966
23.9,413.126,91.226,73.797,1423.966
24.9,413.126,455.082,73.797,1423.966
25.9,484.415,17.826,51.38,1423.966
26.9,484.415,229.638,51.38,1423.966
27.9,534.915,6.291,53.03,1423.966
28.9,534.915,167.772,53.03,1423.966
29.9,534.915,477.102,53.03,1423.966
30.9,588.238,198.181,24.117,1423.966
31.9,588.238,364.904,24.117,1423.966
32.9,588.238,242.221,59.769,1423.966
33.9,588.238,380.633,59.769,1423.966
34.9,645.001,101.712,48.234,1423.966
35.9,645.001,417.333,48.234,1423.966
36.9,692.201,102.76,54.526,1423.966
37.9,692.201,390.07,54.526,1423.966
38.9,591.384,96.469,9.437,1423.966
39.9,591.384,243.27,9.437,1423.966
40.9,591.384,96.469,32.183,1423.966
41.9,591.384,233.832,32.183,1423.966
42.9,591.384,430.965,32.183,1423.966
43.9,593.882,219.152,69.206,1423.966
44.9,593.882,364.904,69.206,1423.966
45.9,659.295,171.966,46.662,1423.966
46.9,659.295,386.925,46.662,1423.966
47.9,703.581,72.352,49.807,1423.966
48.9,691.523,7.34,9.437,1423.966
49.9,691.523,146.801,9.437,1423.966
50.9,691.523,367.002,9.437,1423.966
51.9,691.523,242.221,17.826,1423.966
52.9,691.523,392.167,17.826,1423.966
53.9,657.112,209.715,4.194,1423.966
54.9,657.112,429.916,4.194,1423.966
55.9,657.112,94.372,53.308,1423.966
56.9,709.187,40.894,47.186,1423.966
57.9,709.187,178.258,47.186,1423.966
58.9,709.187,365.953,47.186,1423.966
59.9,754.961,285.213,15.729,1423.966
