Uptime (ms),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10700,0,0,0,0
11700,39,0,8,35
12700,44,0,11,40
13700,100,0,11,95
14700,97,0,6,92
15700,100,0,5,96
16700,97,0,6,93
17700,100,0,4,92
18700,100,0,7,95
19700,99,0,4,96
20700,98,0,4,95
21700,100,1,3,98
22700,100,0,4,97
23700,88,0,3,85
24700,80,1,2,74
25700,17,0,1,15
26700,35,0,3,31
27700,53,0,2,52
28700,16,0,2,13
29700,64,0,2,62
30700,23,0,1,20
31700,15,0,0,13
32700,71,0,2,69
33700,16,0,1,13
34700,32,0,2,30
35700,53,0,3,51
36700,18,0,1,12
37700,63,0,2,61
38700,28,0,1,24
39700,15,0,1,12
40700,73,0,2,72
41700,16,0,1,14
42700,36,0,2,33
43700,53,0,1,51
44700,15,0,1,13
45700,63,0,3,60
46700,24,0,2,21
47700,14,0,1,12
48700,73,0,2,67
49700,17,0,3,14
50700,36,0,2,34
51700,53,0,2,47
52700,14,0,2,13
53700,65,0,1,62
54700,25,0,1,21
55700,15,0,1,12
56700,65,0,3,62
57700,18,0,2,14
58800,32,0,2,29
