Uptime (ms),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10700, 117.947,  39.846,   3.146, 301.990
11700, 180.526,  14.680,   9.437, 329.253
12700,  70.073,  46.137,   3.627, 329.253
13700,  24.613,   1.049,  10.574, 658.506
14700,  24.613,  23.069,  30.371, 658.506
15700,  40.848, 271.581,  35.127, 790.626
16700,  56.199, 409.993,  42.467, 931.135
17700,  74.412, 142.606,  48.759,1065.353
18700, 114.464, 218.104,  56.099,1194.328
19700, 154.836, 485.490,  50.933,1194.328
20700, 184.332, 605.028,  46.137,1194.328
21700, 219.539,  68.157,  52.429,1194.328
22700, 250.943, 289.407,  48.759,1194.328
23700, 270.034, 643.826,  62.915,1194.328
24700, 363.332, 217.055,  35.652,1194.328
25700, 363.332, 324.010,  35.652,1194.328
26700, 363.332, 267.387,  51.380,1194.328
27700, 395.144,  99.615,  48.759,1194.328
28700, 395.144, 185.598,  48.759,1194.328
29700, 424.724, 339.739,  50.332,1194.328
30700, 442.796,  32.506,  53.477,1194.328
31700, 442.796, 124.781,  53.477,1194.328
32700, 493.956,  18.874,  42.467,1194.328
33700, 493.956, 106.955,  42.467,1194.328
34700, 504.313, 176.161,  42.992,1194.328
35700, 536.515, 206.569,  34.757,1194.328
36700, 536.515, 292.553,  34.757,1194.328
37700, 570.174, 226.492,  34.603,1194.328
38700, 582.618, 114.295,  35.652,1194.328
39700, 583.667, 205.521,  35.652,1194.328
40700, 629.773, 121.635,  32.506,1194.328
41700, 629.773, 209.715,  32.506,1194.328
42700, 648.670,  72.352,  31.982,1194.328
43700, 678.309,   3.146,  35.127,1194.328
44700, 678.309, 105.906,  35.127,1194.328
45700, 711.971, 116.392,  31.976,1194.328
46700, 723.919,  91.226,  27.787,1194.328
47700, 723.919, 186.647,  27.787,1194.328
48700, 765.143, 222.298,  23.039,1194.328
49700, 772.322,  52.429,  29.360,1194.328
50700, 799.604, 187.695,  11.534,1194.328
51700, 813.574, 164.626,  19.634,1194.328
52700, 820.166,  37.749,  23.884,1194.328
53700, 854.949, 149.946,  18.295,1194.328
54700, 871.714,   2.097,  15.272,1194.328
55700, 871.714,  95.420,  15.272,1194.328
56700, 907.535,  50.332,  15.729,1194.328
57700, 917.111,   4.194,  11.429,1194.328
58800, 931.100,   1.049,   9.437,1194.328
